"Ranking","Team","Rating"
1,"Oklahoma",51.246487544733
2,"UCF",29.1595225254926
3,"Ohio_St",23.6422343077341
4,"Virginia_Tech",9.24266613688168
5,"West_Virginia",6.59591379639445
6,"Mississippi_St",6.33868244947472
7,"Oklahoma_St",4.56405633140067
8,"Minnesota",4.4185879781846
9,"Clemson",3.9858238639007
10,"Army",3.52690242617625
11,"Vanderbilt",3.44146668228153
12,"Indiana",3.05103249714197
13,"Alabama",2.80234319660808
14,"Maryland",2.67289067822942
15,"Kansas_St",2.66877426493628
16,"Buffalo",2.66567766866111
17,"USC",2.55204447510358
18,"TCU",2.52216942670611
19,"Colorado",2.47444437496305
20,"Texas",2.45438475290376
21,"Auburn",2.3269488559799
22,"Michigan",2.16865385861709
23,"Washington",1.9995552182313
24,"Virginia",1.83335115119456
25,"Washington_St",1.65208446211422
26,"Colorado_St",1.62246630655488
27,"Delaware",1.61252210957957
28,"Notre_Dame",1.61035961849956
29,"Georgia",1.58756700769787
30,"Wisconsin",1.49313291593007
31,"Boise_St",1.42971570254574
32,"San_Diego_St",1.37958380013888
33,"Wake_Forest",1.31419610108145
34,"James_Madison",1.26540016431228
35,"Duke",1.26072622245997
36,"Stanford",1.10610351696238
37,"Louisville",1.06198407258524
38,"LSU",1.05652572326262
39,"Kentucky",1.0043419332644
40,"Penn_St",0.993672058686789
41,"Purdue",0.968597695559808
42,"Tennessee",0.909877165186515
43,"Arizona_St",0.894157027275995
44,"Mercer",0.89247586183165
45,"MTSU",0.874736740872848
46,"Oregon",0.864276835968447
47,"SMU",0.845996686585513
48,"Texas_Tech",0.83803690521451
49,"Troy",0.826342945698754
50,"South_Florida",0.809268964687655
51,"Southern_Miss",0.799479390119968
52,"California",0.785272043658303
53,"NC_State",0.780272650961147
54,"Michigan_St",0.757319732246864
55,"Rutgers",0.743356369156903
56,"South_Carolina",0.73804398483093
57,"Texas_A&M",0.725093791346051
58,"UCLA",0.722777766818647
59,"New_Mexico_St",0.718543192797407
60,"New_Mexico",0.708327964709354
61,"W_Michigan",0.708200130147299
62,"Arizona",0.707764728279432
63,"Florida",0.706886964838205
64,"Syracuse",0.671943840319096
65,"Air_Force",0.64665079980301
66,"Richmond",0.624397385551481
67,"North_Carolina",0.605022560462146
68,"Georgia_Tech",0.577431109112321
69,"Arkansas",0.569731926105105
70,"Sam_Houston_St",0.568455552265435
71,"William_&_Mary",0.566115715987972
72,"Colgate",0.565670057229267
73,"Cincinnati",0.564548267858313
74,"Holy_Cross",0.561831668924369
75,"Nicholls_St",0.556917317044634
76,"Mississippi",0.547560193742338
77,"Memphis",0.52577369377339
78,"Illinois_St",0.524203456264626
79,"Nebraska",0.50962514019576
80,"Toledo",0.506940160297001
81,"Houston",0.495162363294429
82,"Northwestern",0.487570759677344
83,"N_Illinois",0.481323575267086
84,"UC_Davis",0.478950324022185
85,"Connecticut",0.463820494380295
86,"Appalachian_St",0.46381922792245
